,ticker_symbol,day_date,close_value
279,AAPL,2019-04-22,204.53
280,AAPL,2019-04-18,203.86
281,AAPL,2019-04-17,203.13
282,AAPL,2019-04-16,199.25
283,AAPL,2019-04-15,199.23
284,AAPL,2019-04-12,198.87
285,AAPL,2019-04-11,198.95
286,AAPL,2019-04-10,200.62
287,AAPL,2019-04-09,199.5
288,AAPL,2019-04-08,200.1
289,AAPL,2019-04-05,197.0
290,AAPL,2019-04-04,195.69
291,AAPL,2019-04-03,195.35
292,AAPL,2019-04-02,194.02
293,AAPL,2019-04-01,191.24
294,AAPL,2019-03-29,189.95
295,AAPL,2019-03-28,188.72
296,AAPL,2019-03-27,188.47
297,AAPL,2019-03-26,186.79
298,AAPL,2019-03-25,188.74
299,AAPL,2019-03-22,191.05
300,AAPL,2019-03-21,195.09
301,AAPL,2019-03-20,188.16
302,AAPL,2019-03-19,186.53
303,AAPL,2019-03-18,188.02
304,AAPL,2019-03-15,186.12
305,AAPL,2019-03-14,183.73
306,AAPL,2019-03-13,181.71
307,AAPL,2019-03-12,180.91
308,AAPL,2019-03-11,178.9
309,AAPL,2019-03-08,172.91
310,AAPL,2019-03-07,172.5
311,AAPL,2019-03-06,174.52
312,AAPL,2019-03-05,175.53
313,AAPL,2019-03-04,175.85
314,AAPL,2019-03-01,174.97
315,AAPL,2019-02-28,173.15
316,AAPL,2019-02-27,174.87
317,AAPL,2019-02-26,174.33
318,AAPL,2019-02-25,174.23
319,AAPL,2019-02-22,172.97
320,AAPL,2019-02-21,171.06
321,AAPL,2019-02-20,172.03
322,AAPL,2019-02-19,170.93
323,AAPL,2019-02-15,170.42
324,AAPL,2019-02-14,170.8
325,AAPL,2019-02-13,170.18
326,AAPL,2019-02-12,170.89
327,AAPL,2019-02-11,169.43
328,AAPL,2019-02-08,170.41
329,AAPL,2019-02-07,170.94
330,AAPL,2019-02-06,174.24
331,AAPL,2019-02-05,174.18
332,AAPL,2019-02-04,171.25
333,AAPL,2019-02-01,166.52
334,AAPL,2019-01-31,166.44
335,AAPL,2019-01-30,165.25
336,AAPL,2019-01-29,154.68
337,AAPL,2019-01-28,156.3
338,AAPL,2019-01-25,157.76
339,AAPL,2019-01-24,152.7
340,AAPL,2019-01-23,153.92
341,AAPL,2019-01-22,153.3
342,AAPL,2019-01-18,156.82
343,AAPL,2019-01-17,155.86
344,AAPL,2019-01-16,154.94
345,AAPL,2019-01-15,153.07
346,AAPL,2019-01-14,150.0
347,AAPL,2019-01-11,152.29
348,AAPL,2019-01-10,153.8
349,AAPL,2019-01-09,153.31
